Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C7",0603,4,4.7u,
"C10, C11, C12, C13, C14, C15, C16, C6, C8, C9",0603,10,100n,
"C17, C18",0603,2,15p,
"C19, C20, C21, C22, C23, C25, C26, C27, C29",0805,9,CL21A475KAQNNNE,C1779
"C24, C30, C35",0805,3,22uF,C92814
"C28, C36",0805,2,10uF,C87157
"C31, C32, C33, C34",0603,4,1uF,C15849
C37,0603,1,0.1uF,
C38,0603,1,10pF,C1634
"C4, C5",0603,2,10u,
CN2,CONN-TH_B2B-PH-K-S,1,B2B-PH-K-S,C131337
"D4, D5, D6",SMA_L4.2-W2.6-LS5.0-RD_1,3,SS14,C2480
FPC1,FPC-SMD_24P-P0.50_FPC-05FB-24PH20,1,FPC-05FB-24PH20,C2856831
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,AOTA-B201610S3R3-101-T,C42411119
L2,IND-SMD_L4.0-W4.0_XFL4020-102MEB,1,XFL4020-102MEC,C5355380
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
R1,0603,1,33,
"R10, R11",0603,2,2.2,C22939
"R12, R9",0603,2,1k,
R13,0603,1,10k,C115324
R14,R0402,1,10k,C25744
"R15, R16",R0603,2,1,C22936
R17,0603,1,10k,C98220
R18,0603,1,1M,C105578
"R19, R21",0805,2,560k,C2933556
"R2, R3",0603,2,5.1k,
R20,0603,1,200k,C105574
"R4, R5",0603,2,27,
R6,0603,1,0,
R7,0603,1,DNF,
R8,0603,1,2k,C140173
SW1,SW-SMD_3P-L9.1-W3.5-P2.50_MST-12D18G2,1,MST-12D18G2 SMD SLIDE SWITCH,C49023765
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,C42411118
U10,WSON-10_L3.0-W3.0-P0.50-BL-EP-A,1,TPS63060DSCR,C48567
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U5,SW-SMD_YZA-009,1,YZA-009,C49108621
U6,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U7,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,1,SM03B-SRSS-TB,C160403
U8,IND-SMD_L4.5-W4.0,1,CY43-10UH,C2929419
U9,WSON-10_L2.0-W2.0-P0.40-BL-EP,1,BQ24040DSQR,C81080
