Designator,Mid X,Mid Y,Rotation,Layer
C1,122.05,-78.9,0.0,top
C10,116.65,-66.995,90.0,top
C11,110.125,-76.875,180.0,top
C12,113.575,-82.405,270.0,top
C13,109.225,-69.8,180.0,top
C14,109.12,-78.425,180.0,top
C15,120.425,-70.075,90.0,top
C16,104.075,-87.05,270.0,top
C17,122.65,-72.6,90.0,top
C18,124.7,-76.65,0.0,top
C19,94.7,-57.0,90.0,top
C2,121.4,-75.65,270.0,top
C20,96.55,-64.2,180.0,top
C21,95.1,-61.15,90.0,top
C22,96.975,-74.775,0.0,top
C23,118.075,-52.625,0.0,top
C24,116.0,-60.95,180.0,top
C25,90.7,-58.7,0.0,top
C26,96.55,-66.25,180.0,top
C27,90.7,-56.5,0.0,top
C28,126.4,-56.25,180.0,top
C29,97.1,-76.8,0.0,top
C3,111.875,-66.6,0.0,top
C30,116.0,-58.875,180.0,top
C31,93.3,-64.3,270.0,top
C32,97.2,-68.05,180.0,top
C33,97.2,-69.6,180.0,top
C34,97.525,-71.2,180.0,top
C35,116.0,-63.0,180.0,top
C36,126.4,-58.325,180.0,top
C37,118.625,-63.725,270.0,top
C38,118.95,-67.8,0.0,top
C4,105.65,-70.3,0.0,top
C5,112.95,-69.27,90.0,top
C6,116.231048,-82.993952,225.0,top
C7,106.251992,-73.448008,225.0,top
C8,115.05,-67.125,90.0,top
C9,118.75,-81.075,270.0,top
CN2,124.525,-53.4,0.0,top
D4,98.85,-57.3,180.0,top
D5,90.75,-61.25,0.0,top
D6,98.95,-60.4,0.0,top
FPC1,90.375,-71.5,270.0,top
L1,109.125,-73.475,90.0,top
L2,125.425,-62.925,90.0,top
Q1,95.65,-79.35,90.0,top
R1,109.73,-71.325,0.0,top
R10,104.3,-60.05,0.0,top
R11,96.9,-72.825,0.0,top
R12,120.575,-54.635,90.0,top
R13,93.845,-77.55,180.0,top
R14,93.745,-74.45,0.0,top
R15,104.3,-56.85,0.0,top
R16,104.3,-58.4,0.0,top
R17,115.575,-53.125,90.0,top
R18,118.8,-59.575,270.0,top
R19,121.4125,-60.025,0.0,top
R2,93.55,-86.875,0.0,top
R20,120.062534,-65.89326,10.0,top
R21,121.4,-57.925,0.0,top
R3,92.9,-83.175,90.0,top
R4,105.791637,-76.358363,45.0,top
R5,106.866637,-77.408363,45.0,top
R6,103.125,-90.175,90.0,top
R7,107.175,-90.225,90.0,top
R8,122.975,-56.15,0.0,top
R9,110.3,-89.775,180.0,top
SW1,110.025,-56.8125,0.0,top
U1,116.4,-75.375,180.0,top
U10,121.05,-62.775,180.0,top
U2,103.2,-65.8,0.0,top
U3,89.0675,-85.5,270.0,top
U4,108.0,-84.0,0.0,top
U5,113.925,-87.220031,225.0,top
U6,125.185,-73.75,90.0,top
U7,123.825,-68.45,90.0,top
U8,101.75,-76.9,270.0,top
U9,118.72625,-55.3,90.0,top
